name,nationality,political_views,religion,notes,profession,description_original,odnb_link
"Erskine, Ralph (1685-1752)",Scot,,church of England,,,"Scot, religious orthodoxy",http://www.oxforddnb.com/view/article/8870?docPos=30
"Euclid, ",,,,,,,
"Evans, Theophilus (1693-1767)",,tory,church of England,,,"Church of England, tory",http://www.oxforddnb.com/view/article/8980?docPos=107
"Fearon, Jane (1654-1737)",,,,,,,
"Fell, John (1625-1686)",,royalist,,,bishop,"bishop, royalist",http://www.oxforddnb.com/view/article/9257?docPos=4
"Fenning, Daniel",,,,,textbook author,textbook writer,http://www.oxforddnb.com/view/article/69580?docPos=1
"Ferguson, Robert (1714-1714)",Scot,whig,dissenter,radical,,"Scot, whig dissenter, radical",http://www.oxforddnb.com/view/article/9325?docPos=1
"Fiddes, Richard (1671-1725)",,tory,Church of England,pro-jacobite,,"Churc of England, tory, semi-Jacobite",http://www.oxforddnb.com/view/article/9380
"Fielding, Henry (1707-1754)",,tory,,anti-Walpole,,"anti-Walpole, whig/tory?",http://www.oxforddnb.com/view/article/9400?docPos=1
"Fiennes, Nathaniel (1607-1669)",,parliamentarian,,,,Parliamentarian,http://www.oxforddnb.com/view/article/9413?docPos=6
"Finley, Samuel (1715-1766)",,,,,,,
"Fisher, George",,,,,,,
"Fitzneale, Richard (1130-1198)",,,,,,,
"Flatman, Thomas (1637-1688)",,whig,,pro-government,,"whig, pro-government",http://www.oxforddnb.com/view/article/9675?docPos=2
"Flavel, John (1630-1691)",,,presbyterian,,author,Presbuterian author,http://www.oxforddnb.com/view/article/9678?docPos=2
"Fleming, Caleb (1698-1779)",,whig,dissenter,commonwealth whig,,dissenting commonwealth-whig,http://www.oxforddnb.com/view/article/9695?docPos=10
"Fleury, Claude (1640-1723)",,,,,,,
"Flloyd, Thomas",,,,,,,
"Fordun, John (NA-1384)",Scot,,,,chronicler,"Scot, chronicler",http://www.oxforddnb.com/view/article/9875?docPos=1
"Forster, Samuel",,,,,,,
"Fortescue, John (1394-1476)",,,,,constitutional lawyer,consitutional law,http://www.oxforddnb.com/view/article/9944?docPos=15
"Fothergill, George (1705-1760)",,royalist,,,,Royalist,http://www.oxforddnb.com/view/article/9977?docPos=4
"Fowle, Daniel (1715-1787)",,,,,,,
"Foxe, John (1516-1587)",,,,radical,reformer,"Acts and monuments, radical reformer",http://www.oxforddnb.com/view/article/10050?docPos=6
"Francis, John (1700-1749)",,,,,,,
"Gale, John (1680-1721)",,,baptist,,preacher,Baptist preacher,http://www.oxforddnb.com/view/article/10292?docPos=1
"Gandy, Henry (1649-1734)",,royalist,church of England,nonjuror,,"royalist, nonjuring Church of England, divine right",http://www.oxforddnb.com/view/article/10333
"Garden, George (1649-1733)",Scot,jacobite,episcopalian,,,"Scot, Jacobite, episcopalian",http://www.oxforddnb.com/view/article/10351?docPos=6
"Gardner, Thomas (1668-1769)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/10375?docPos=23
"Gast, John (1716-1788)",,,,,,,
"Gastrell, Francis (1662-1725)",,tory,,,,"tory, perhaps Jacobite",http://www.oxforddnb.com/view/article/10442
"Gauden, John (1605-1662)",,,,mixed views,politician,"politician, mixed views",http://www.oxforddnb.com/view/article/10456?docPos=1
"Gay, John (1685-1732)",,tory,,,poet,"Tory, poet",http://www.oxforddnb.com/view/article/10473?docPos=1
"Gent, Thomas (1693-1778)",,,,,printer,printer,http://www.oxforddnb.com/view/article/10519?docPos=3
Gentleman At Durham,,,,,,,
Gentleman Late Of The Temple,,,,,,,
Gentleman Of Oxford,,,,,,,
Gentleman Of The Middle Temple,,,,,,,
"Gibbon, Edward (1737-1794)",,tory,,,politician,tory politician,http://www.oxforddnb.com/view/article/10589?docPos=6
"Gibson, Edmund (1669-1748)",,,,,,,
"Gilbert, Geoffrey (1674-1726)",,tory,church of England,,archbishop,"archbishop, tory",http://www.oxforddnb.com/view/article/10692?docPos=32
"Gilbert, John (1693-1761)",,whig,,,legal author,"whig, juridical writer",http://www.oxforddnb.com/view/article/10688?docPos=29
"Gildon, Charles (1665-1724)",,whig,,,author,"writer, whig",http://www.oxforddnb.com/view/article/10720?docPos=1
"Gonson, John (NA-1765)",,,,,prosectutor,prosecutor,http://www.oxforddnb.com/view/article/96892?docPos=2
"Gordon, Delahay",,whig,,pro-Walpole,,Independent whig / court whig,http://www.oxforddnb.com/view/article/11083?docPos=117
"Gordon, George",,,,,,,
"Gordon, Thomas (NA-1750)",,,,,,,
"Gordon, W (NA-1794)",,,,,,,
"Gordon, William",,,,,,,
"Granville, Charles",,,,,,,
"Green, George Smith (NA-1762)",,,,,author,writer,http://www.oxforddnb.com/view/article/11382?docPos=3
"Greenwood, William",,,,,,,
"Grey, Richard (1694-1771)",,royalist,high-church,,,high-churchman royalist,http://www.oxforddnb.com/view/article/11558?docPos=67
"Grey, Zachary (1688-1766)",,royalist,church of England,anti-dissenter,,"royalist, anti-dissent, Church of England",http://www.oxforddnb.com/view/article/11573?docPos=84
"Griffith, John (1622-1700)",,parliamentarian,baptist,,,"Baptist, parliamentarian",http://www.oxforddnb.com/view/article/11599?docPos=18
"Grove, Joseph (NA-1764)",,,,,biographer,biographer,http://www.oxforddnb.com/view/article/11682?docPos=10
"Gurdon, Thornhagh (1663-1733)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/11757?docPos=4
"Guthrie, William (1708-1770)",Scot,,,influence on Hume,historian,"Scot, Historian, note the title of his work!",http://www.oxforddnb.com/view/article/11792?docPos=21
"Guyon, ",,,,,,,
"Hacket, John (1592-1670)",,royalist,,,,"Royalist (comes after Hobbes in the book, plays a big role) pre-restoration",http://www.oxforddnb.com/view/article/11837?docPos=1
"Hale, Thomas (1763-NA)",,,,,,,
"Hall, John (NA-1707)",,,church of England,,,Church of England,http://www.oxforddnb.com/view/article/11970?docPos=6
"Hamilton, Anthony (1645-1719)",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/12048?docPos=23
"Hamilton, Thomas (1753-NA)",,,,,,,
"Hammond, Samuel (1794-1665)",,,,anti-quaker,clergyman,"clergyman, anti-quaker",http://www.oxforddnb.com/view/article/12162?docPos=17
"Hampden, John (1594-1643)",,parliamentarian,,,,Parliamentarian,http://www.oxforddnb.com/view/article/12169?docPos=1
"Hampden, John (1656-1696)",,whig,,country whig,,country whig,http://www.oxforddnb.com/view/article/12170?docPos=2
"Hanway, Jonas (1712-1786)",,,,,merchant,merchant,http://www.oxforddnb.com/view/article/12230?docPos=1
"Harbin, George",,,,nonjuror,,nonjuror,http://www.oxforddnb.com/view/article/12231
"Hare, Francis (1671-1740)",,royalist,,pro-Charles I,,royal leanings (praising Charles I),http://www.oxforddnb.com/view/article/12298?docPos=1
"Harley, Edward (1664-1735)",,whig,presbyterian,,,Presbuterian whig,http://www.oxforddnb.com/view/article/12336?docPos=2
"Harper, Thomas (NA-1788)",,,,,,,
"Harris, Benjamin (NA-1716)",,whig,,,scientist,whig scientist,http://www.oxforddnb.com/view/article/12397?docPos=3
"Harris, John (1667-1719)",Irish,,,,historian,Irish historian,http://www.oxforddnb.com/view/article/12423?docPos=2
"Harris, Walter (1686-1761)",,,dissenter,,,dissenter ,http://www.oxforddnb.com/view/article/12425?docPos=3
"Harris, William (1675-1740)",,,,noncomformist,,Noncomformist background,http://www.oxforddnb.com/view/article/12426?docPos=4
"Harris, William (1720-1770)",,,,,,,
"Harrison, Conyers",,,,,,,
"Harrison, Joseph (1734-1779)",,,,,,,
"Harrison, William (1702-1704)",,,,,,,
"Hart, Cheney (1726-1784)",,,,,,,
"Hatton, Edward (1664-NA)",,,,,,,
"Hawarden, Edward (1662-1735)",,,catholic,,priest,Catholic priest,http://www.oxforddnb.com/view/article/12641?docPos=2
"Hawkins, William (1673-1746)",,,,,,,
"Hawles, John (1645-1716)",,whig,,,,whig,http://www.oxforddnb.com/view/article/12694
"Hay, Richard (1661-NA)",Scot,,,,antiquary,"Scot, antiquary",http://www.oxforddnb.com/view/article/12735
"Hayes, Richard",,,,,,,
"Hayter, Thomas (1702-1762)",,whig,,,bishop,"whig, bishop",http://www.oxforddnb.com/view/article/12789?docPos=9
"Haywood, Eliza Fowler (1693-1756)",,whig,,,,whig,http://www.oxforddnb.com/view/article/12798?docPos=1
