ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
0782-5390,01.01.1991,31.12.1991,6412,
0782-5390,01.01.1990,31.12.1990,6316,
0789-8185,01.01.1995,31.12.1995,2200,
0789-8185,01.01.1990,31.12.1994,2091,
0782-6192,01.01.1996,31.12.1997,7532,
0782-6192,01.01.1993,31.12.1994,8174,
0782-6192,01.01.1991,31.12.1992,8493,
0782-6192,01.01.1990,31.12.1990,8670,
0356-4541,01.01.1997,31.12.1997,5459,
0356-4541,01.01.1995,31.12.1996,5030,
0356-4541,01.01.1994,31.12.1994,7000,
0356-1402,01.01.1998,31.12.1999,76040,
0356-1402,01.01.1997,31.12.1997,75770,
0356-1402,01.01.1996,31.12.1996,76083,
0356-1402,01.01.1995,31.12.1995,79278,
0356-1402,01.01.1994,31.12.1994,80216,
0356-1402,01.01.1993,31.12.1993,80600,
0356-1402,01.01.1992,31.12.1992,82080,
0356-1402,01.01.1991,31.12.1991,81852,
0356-1402,01.01.1990,31.12.1990,81456,
0357-9301,01.01.1995,31.12.1996,7039,
0357-9301,01.01.1993,31.12.1994,7487,
0357-9301,01.01.1991,31.12.1992,7849,
0357-9301,01.01.1990,31.12.1990,7918,
0357-2463,01.01.1992,,15416,
0357-2463,01.01.1990,31.12.1991,15622,
0357-1858,01.01.1998,31.12.1998,12468,
0357-1858,01.01.1997,31.12.1997,12763,
0357-1858,01.01.1996,31.12.1996,12307,
0357-1858,01.01.1995,31.12.1995,12314,
0357-1858,01.01.1993,31.12.1994,13463,
0357-1858,01.01.1992,31.12.1992,14087,
0357-1858,01.01.1991,31.12.1991,14492,
0357-1858,01.01.1990,31.12.1990,14468,
0782-6230,01.01.1907,31.12.1907,4550,
0789-8274,01.01.1997,31.12.1997,2526,
0789-8274,01.01.1996,31.12.1996,2998,
0789-8274,01.01.1995,31.12.1995,2840,
0789-8274,01.01.1994,31.12.1994,2961,
0789-8274,01.01.1993,31.12.1993,3143,
